,GID_0,NAME_0,NAME_1,LANDLESS,A0.1,A1.2,A2.5,A5.10,A10.20,A20.,A0.2,A0.5,A0.10,A0.20,N0.1,N1.2,N2.5,N5.10,N10.20,N20.,N0.2,N0.5,N0.10,N0.20,PA0.1,PA1.2,PA2.5,PA5.10,PA10.20,PA20.,PA0.2,PA0.5,PA0.10,PA0.20,PN0.1,PN1.2,PN2.5,PN5.10,PN10.20,PN20.,PN0.2,PN0.5,PN0.10,PN0.20
389,NGA,Nigeria,North West,170716.9473,1712147.647,957537.9582,760279.8572,262452.2812,0,NA,2669685.605,3429965.462,3692417.744,3692417.744,3778695.302,689334.6623,273519.773,40288.6502,0,NA,4468029.964,4741549.737,4781838.387,4781838.387,0.463692834,0.259325468,0.205902991,0.071078708,0,0,0.723018301,0.928921292,1,1,0.762978916,0.139187675,0.055228009,0.008134922,0,0,0.902166591,0.957394601,0.965529522,0.965529522
390,NGA,Nigeria,South East,278101.4072,317110.4921,6769.867145,57178.38972,61022.37507,0,NA,323880.3593,381058.749,442081.1241,442081.1241,2613216.555,6107.6647,15777.2031,7977.8698,0,NA,2619324.22,2635101.423,2643079.293,2643079.293,0.717312898,0.015313631,0.129339134,0.138034337,0,0,0.732626529,0.861965663,1,1,0.894575455,0.002090821,0.005400968,0.002731043,0,0,0.896666276,0.902067244,0.904798287,0.904798287
391,NGA,Nigeria,South South,714532.0048,311411.5578,128249.1332,60118.11195,0,0,NA,439660.691,499778.803,499778.803,499778.803,1233281.023,93252.5599,18605.7926,0,0,NA,1326533.583,1345139.375,1345139.375,1345139.375,0.623098771,0.25661179,0.120289439,0,0,0,0.879710561,1,1,1,0.598775627,0.045275455,0.009033379,0,0,0,0.644051083,0.653084462,0.653084462,0.653084462
392,NGA,Nigeria,South West,353224.2107,308502.3302,270084.8061,513151.1723,291651.2657,119903.25,NA,578587.1363,1091738.309,1383389.574,1503292.824,691324.6922,207905.5663,176225.3986,36062.8054,8052.981,NA,899230.2585,1075455.657,1111518.463,1119571.444,0.205217723,0.17966214,0.341351441,0.194008287,0.079760409,0,0.384879863,0.726231304,0.920239591,1,0.469396206,0.141163892,0.119653666,0.024485953,0.00546782,0,0.610560098,0.730213763,0.754699716,0.760167536
393,RWA,Rwanda,Ruhengeri,4549.974609,6814.183017,30310.54988,329756.5094,1087621.133,2658058.319,22715829.36,37124.7329,366881.2423,1454502.376,4112560.695,13330.90826,20444.44769,94601.93629,138547.0577,187159.24,467114.4488,33775.35596,128377.2923,266924.35,454083.59,0.000253991,0.001129794,0.012291327,0.040539933,0.099076326,0.846708629,0.001383785,0.013675112,0.054215045,0.153291371,0.014400148,0.022084247,0.102189726,0.149659579,0.202170825,0.504580558,0.036484395,0.138674121,0.2883337,0.490504525
395,RWA,Rwanda,Byumba,3573.302643,4607.757686,12847.43066,269438.9111,714579.4677,2487333.517,17864746.35,17455.18834,286894.0994,1001473.567,3488807.084,7626.957947,8492.159119,71612.71683,100703.0629,174444.1722,378599.1159,16119.11707,87731.83389,188434.8968,362879.069,0.000215784,0.000601653,0.012617989,0.033464195,0.116483354,0.836617025,0.000817437,0.013435427,0.046899621,0.163382975,0.01023682,0.011398084,0.096117809,0.135162555,0.23413707,0.508151614,0.021634904,0.117752713,0.252915268,0.487052338
397,RWA,Rwanda,Kigali Ngali,20703.61841,12890.32138,17969.24014,338345.6036,958702.6959,2589086.966,24851134.25,30859.56152,369205.1651,1327907.861,3916994.827,21871.58917,13089.06818,87940.52045,118214.7603,182842.6171,500041.6711,34960.65735,122901.1778,241115.9381,423958.5552,0.000448076,0.000624623,0.011761126,0.033325167,0.089998448,0.863842559,0.0010727,0.012833826,0.046158993,0.136157441,0.023151794,0.013855208,0.093087925,0.1251342,0.193544906,0.529310507,0.037007002,0.130094927,0.255229128,0.448774034
398,RWA,Rwanda,Butare,33564.27084,21960.97568,51266.0477,558564.8694,1202300.228,2361019.166,11973947.11,73227.02337,631791.8928,1834092.121,4195111.287,44890.94357,37498.32526,159369.1494,162991.4418,161783.8906,254973.5592,82389.26883,241758.4182,404749.86,566533.7506,0.00135821,0.003170627,0.034545294,0.074358086,0.14602082,0.740546964,0.004528837,0.03907413,0.113432216,0.259453036,0.052499632,0.043854019,0.186381062,0.190617307,0.189205084,0.298189725,0.096353651,0.282734713,0.47335202,0.662557104
400,RWA,Rwanda,Gitarama,38656.78506,20491.88871,50007.82355,498351.1233,1422927.346,3323767.268,7872006.534,70499.71226,568850.8355,1991778.182,5315545.45,33750.90097,35196.43173,144773.881,200879.0108,236798.8096,224117.7888,68947.3327,213721.2137,414600.2245,651399.0341,0.001553881,0.003792048,0.03778951,0.107899279,0.252038231,0.596927052,0.005345929,0.043135438,0.151034717,0.403072948,0.036919575,0.038500818,0.158365851,0.219738362,0.259030459,0.245158892,0.075420393,0.233786244,0.453524605,0.712555064
402,RWA,Rwanda,Gikongoro,13227.35608,10212.9934,37585.23306,378079.529,860708.8732,1778627.63,8321061.229,47798.22647,425877.7555,1286586.629,3065214.259,17031.17282,23698.77832,108951.744,115861.9889,124474.562,190897.0053,40729.95114,149681.6951,265543.684,390018.2461,0.000896956,0.003300924,0.033204846,0.075591784,0.156208027,0.730797462,0.004197881,0.037402727,0.112994511,0.269202538,0.028665126,0.039887357,0.183376419,0.195007036,0.209502837,0.321298293,0.068552483,0.251928903,0.446935939,0.656438776
